Warehouse,Armazém
Send After,Envie Depois
Send Alert On,Enviar Alerta
Send Notification to,Enviar Notificação para
Send Notifications For Documents Followed By Me,Enviar notificações para documentos seguidos por mim
Send Now,Enviar Agora
Send Print as PDF,Enviar impressão como PDF
Send System Notification,Enviar Notificação do Sistema
Send To All Assignees,Enviar para todos os cessionários
Send alert if date matches this field's value,Enviar alerta se a data corresponde valor deste campo
Send alert if this field's value changes,Enviar alerta se muda o valor desse campo
Send days before or after the reference date,Enviar dias antes ou depois da data de referência
Send only if there is any data,Envie somente se houver quaisquer dados
Sending,Enviando
Sent Read Receipt-MZ,Enviar Confirmação de Leitura
Sent or Received,Enviados ou recebidos
Separator,Separador
Series List for this Transaction,Lista de séries para esta transação
Server Action,Ação do Servidor
Server IP,IP do servidor
Service,Serviço
Set New Password,Definir nova senha
Set Property After Alert,Definir propriedade após o alerta
Set Role For,Definir papel para
Set Value,Definir valor
Settings,Configurações
Settings Dropdown,Lista suspensa de configurações
Shared,Compartilhado
Shipping,Expedição
Shipping Address,Endereço Para Entrega
Shop,Loja
Show Full Error and Allow Reporting of Issues to the Developer,Mostrar erro completo e permitir relatórios de problemas para o desenvolvedor
Show Full Form?,Mostrar formulário completo?
Show Line Breaks after Sections,Mostrar quebras de linha após seções
Show Percentage Stats,Mostrar estatísticas percentuais
Show Section Headings,Mostrar Seção Títulos
Show Title,Mostrar Título
Show full form instead of a quick entry modal,Mostrar o formulário completo em vez de um modal de entrada rápida
Show in Module Section,Mostrar na Seção Módulo
Show in filter,Mostrar no filtro
Show percentage difference according to this time interval,Mostra a diferença percentual de acordo com este intervalo de tempo
Sidebar Items,Itens da barra lateral
Sidebar Settings,Configurações da barra lateral
Signature,Assinatura
Simultaneous Sessions,Sessões simultâneas
Size,Tamanho
Skip Authorization,Ignorar autorização
Slack,Folga
Slack Channel,Canal de folga
Small Text,Texto Pequeno
Smallest Currency Fraction Value,Menor valor fracionado de moeda
Social Login Provider,Provedor de acesso social
Sort Field,Ordenar por campo
Sort Order,Ordem de classificação
Source,Origem
Start,Iniciar
Start Date,Data de Início
Start Date Field,Campo de Data de Início
Started,Começado
Starts on,Inicia em
State,Estado
State/Province,Estado / Província
States,Estados
Static Parameters,Parâmetros estáticos
Stats Time Interval,Intervalo de tempo das estatísticas
Step,Degrau
Steps,Passos
Stop,Parar
Stopped,Parado
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Armazena o JSON das últimas versões conhecidas de vários aplicativos instalados. Ele é usado para mostrar notas de lançamento.
Style,Estilo
Style Settings,Configurações de Estilo
Stylesheet,Folha de estilo
Sub-domain provided by erpnext.com,Sub-domínio fornecido pelo erpnext.com
Subdomain,Subdomínio
Subject,Assunto
Submit,Enviar
Submit,Enviar
Submit,Enviar
Submit,Enviar
Submit,Enviar
Submit,Enviar
Submit After Import,Enviar após importação
Submitted,Enviado
Subsidiary,Subsidiário
Subtitle,Subtítulo
Success,Sucesso
Success Message,Mensagem de sucesso
Success URL,URL de Confirmação
Symbol,Símbolo
Sync,Sincronizar
Sync with Google Calendar,Sincronize com o Google Agenda
Sync with Google Contacts,Sincronizar com os contatos do Google
System,Sistema
System Manager,Administrador do Sistema
System Notification,Notificação do sistema
System Page,Página do sistema
System managers are allowed by default,Gerentes de sistema são permitidos por padrão
Table Break,Pausa para a mesa
Table HTML,Tabela HTML
Task,Tarefa
Tasks,Tarefas
Team Members Heading,Título da página Membros da Equipe
Template,Modelo
Template Options,Opções de modelo
Template Warnings,Avisos do modelo
Text,Texto
Text Align,Alinhar Texto
Text Color,Cor do texto
Text Editor,Editor de Texto
The name that will appear in Google Calendar,O nome que aparecerá no Google Agenda
Theme,Tema
Theme Configuration,Configuração do Tema
Theme URL,URL do tema
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Esses valores serão atualizados automaticamente em transações e também serão úteis para restringir as permissões para este usuário em operações que contenham esses valores.
Third Party Authentication,Autenticação de Terceiros
This card will be available to all Users if this is set,Este cartão estará disponível para todos os usuários se estiver definido
This chart will be available to all Users if this is set,Este gráfico estará disponível para todos os usuários se estiver definido
This format is used if country specific format is not found,Este formato é usado se o formato específico país não é encontrado
This is the number of the last created transaction with this prefix,Este é o número da última transação criada com este prefixo
This will be shown in a modal after routing,Isso será mostrado em um modal após o roteamento
This will be shown to the user in a dialog after routing to the report,Isso será mostrado ao usuário em uma caixa de diálogo após o roteamento para o relatório
Time Format,Formato da hora
Time Series,Séries Temporais
Time Series Based On,Séries Temporais Baseadas em
Time Zones,Fusos horários
Time format,Formato da hora
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,Tempo em segundos para manter a imagem do código QR no servidor. Min: <strong>240</strong>
Timeline Links,Links da linha do tempo
Title,Título
Title Field,Campo Título
Title Prefix,Prefixo do Título
To,Para
To,Para
To Date,Até a Data
To Date Field,Até o momento do campo
To and CC,Para e CC
Token,Símbolo
Tools,Ferramentas
Top,Topo
Top Bar Items,Itens da barra superior
Topic,Tópico
Total Subscribers,Total de Assinantes
Totals,Totais
Track Changes,Rastrear Alterações
Track Field,Trilha de corrida
Track Seen,Marcar como visto
Track Views,Acompanhar vistas
Transgender,Transgênero
Transition Rules,Regras de transição
Transitions,Transições
Translatable,Traduzível
Translated Text,Texto Traduzido
Tree,Árvore
Tree structures are implemented using Nested Set,As estruturas de árvore são implementadas usando o Conjunto Aninhado
Trigger Method,Método gatilho
Two Factor Authentication,Autenticação de dois fatores
Two Factor Authentication method,Método de autenticação de dois fatores
Type,Tipo
UNSEEN,Por Ler
URL for documentation or help,URL para documentação ou ajuda
Unassign Condition,Desatribuir condição
Unique,Único
Unknown,Desconhecido
Unread,Não lida
Unread Notification Sent,Notificação de mensagem não lida enviada
Unshared,Não Compartilhado
Unsubscribe Method,Método de Cancelamento de Inscrição
Update,Atualizar
Update Existing Records,Atualizar registros existentes
Update Field,Atualizar Campo
Update Series Number,Atualizar Números de Séries
Update Settings,Atualizar configurações
Update Value,Atualizar Valor
Uploaded To Dropbox,Enviado para o Dropbox
Uploaded To Google Drive,Carregado no Google Drive
Use ASCII encoding for password,Use codificação ASCII para senha
Use IMAP,Usar IMAP
Use Report Chart,Usar gráfico de relatório
Use SSL,Usar SSL
Use TLS,Usar TLS
Use this fieldname to generate title,Utilize este campo para gerar o título
User,Usuário
User,Usuário
User Agent,Agente de usuário
User Cannot Create,O Usuário não pode criar
User Cannot Search,O Usuário não pode pesquisar
User Defaults,Padrões de Perfil
User ID,ID de Usuário
User ID Property,Propriedade de ID do usuário
User Image,Imagem do Usuário
User Name,Nome de usuário
User Tags,Etiquetas de Usuários
User must always select,O Usuário deve sempre selecionar
User {0} is disabled,Usuário {0} está desativado
Valid,Válido
Validate Field,Validar Campo
Validity,Validade
Value,Valor
Value Based On,Valor Baseado em
Value Changed,Valor Alterado
Value To Be Set,Valor a ser definido
Value to Validate,Valor para Validar
Values Changed,Valores Alterados
Verified,Verificado
Video URL,URL do vídeo
View,Visão
View Properties (via Customize Form),Exibir Propriedades (via Personalizar Formulário)
View Report,Ver relatório
View Settings,Ver Definições
Viewed By,Visto por
Views,Visualizações
Visit,Visita
Warehouse,Armazém
Warning,Aviso
Web Form Fields,Campos de formulário Web
Website,Site
Website Manager,Administrador do Site
Website Theme Image,Imagem do Tema do Site
Weekdays,Dias da Semana
Weekly,Semanalmente
Weekly Long,Semanalmente Longo
Welcome to {0},Bem-vindo Ao {0}
Workflow Action Name,Nome da Ação do Fluxo de Trabalho
Workflow Action is not created for optional states,A ação do fluxo de trabalho não é criada para estados opcionais
Workflow Name,Nome do Fluxo de Trabalho
Wrapping up,Empacotando
Write,Escrever
X Field,Campo X
Y Axis,Eixo Y
Year,Ano
Yearly,Anualmente
Zero means send records updated at anytime,Zero significa enviar registros atualizados a qualquer momento
_report,_relatório
and,e
blue,azul
dd/mm/yyyy,dd/mm/aaaa
e.g. pop.gmail.com / imap.gmail.com,ex: pop.gmail.com / imap.gmail.com
e.g. smtp.gmail.com,ex: smtp.gmail.com
green,verde
icon,ícone
mm/dd/yyyy,mm/dd/aaaa
module,módulo
no failed attempts,tentativas não falharam
on_change,em mudança
or,ou
orange,laranja
page,página
print,imprimir
purple,roxo
query-report,relatório-de-consulta
red,vermelho
response,resposta
share,ação
yellow,amarelo
yyyy-mm-dd,dd/mm/yyyy
{0} is mandatory,{0} é obrigatório
{0} is required,{0} é necessário
Hide,Ocultar
Verifying...,A verificar...
Invalid Login. Try again.,Início de sessão inválido. Tente novamente.
Oops! Something went wrong.,Ups! Algo correu mal.
User does not exist.,O utilizador não existe.
Something went wrong.,Algo correu mal.
Instructions Emailed,Instruções enviadas por e‑mail
Not a valid user,Utilizador inválido
Not Allowed: Disabled User,Não permitido: Utilizador desativado
Login link sent to your email,Ligação de acesso enviada para o seu e‑mail
Verification,Verificação
Verification Code,Código de verificação
Verify,Verificar
Enter Code displayed in OTP App.,Introduza o código mostrado na App OTP.
OTP setup using OTP App was not completed. Please contact Administrator.,A configuração via App OTP não foi concluída. Contacte o Administrador.
SMS was not sent. Please contact Administrator.,O SMS não foi enviado. Contacte o Administrador.
Verification code email not sent. Please contact Administrator.,O e‑mail com o código de verificação não foi enviado. Contacte o Administrador.
Total Warehouses,Total de Armazéns
Total Stock Value,Valor Total do Stock
Total Active Items,Total de Artigos Ativos
Total Incoming Bills,Total de Faturas Recebidas
Total Outgoing Bills,Total de Faturas Emitidas
Total Incoming Payment,Total de Pagamentos Recebidos
Total Outgoing Payment,Total de Pagamentos Efetuados
Employee Tax Exemption Declaration,Declaração de Isenção Fiscal do Trabalhador
Additional Salary,Salário Adicional
Tax Setup,Configuração de Impostos
Income Tax Slab,Escalão de Imposto sobre o Rendimento (IRPS)
Employee Tax Exemption Category,Categoria de Isenção Fiscal do Trabalhador
Employee Tax Exemption Sub Category,Subcategoria de Isenção Fiscal do Trabalhador
Exemption,Isenção
Employee Tax Exemption Proof Submission,Submissão de Comprovativo de Isenção Fiscal do Trabalhador
Benefits,Benefícios
Employee Benefit Application,Candidatura a Benefício do Trabalhador
Employee Benefit Claim,Requisição de Benefício do Trabalhador
Income Tax Computation,Cálculo do Imposto sobre o Rendimento (IRPS)
Income Tax Deductions,Deduções do Imposto sobre o Rendimento (IRPS)
Masters & Reports,Tabelas & Relatórios
Salary Payout,Pagamento de Salário
Outgoing Salary,Pagamento de Salário
Salary Component,Componente Salarial
Salary Structure,Estrutura Salarial
Payroll Period,Período de Folha de Pagamento
Salary Structure Assignment,Atribuição de Estrutura Salarial
Bulk Salary Structure Assignment,Atribuição em Massa de Estruturas Salariais
Salary Slip,Folha de Vencimento
Payroll Entry,Entrada de Folha de Pagamento
Salary Withholding,Retenção Salarial
Employee Incentive,Incentivo do Trabalhador
Retention Bonus,Bónus de Retenção
Salary Register,Registo Salarial
Salary Payments Based On Payment Mode,Pagamentos de Salário por Método de Pagamento
Salary Payments via ECS,Pagamentos de Salário via Transferência Bancária
General Ledger,Razão Geral
Accounts Payable,Contas a Pagar
Accounts Receivable,Contas a Receber
Provident Fund Deductions,Deduções do INSS
Professional Tax Deductions,Deduções de Imposto Profissional
Expense Claim Type,Tipo de Reembolso de Despesa
Vehicle Service Item,Serviço de Viatura
Vehicle Log,Registo de Viatura
Travel Request,Pedido de Viagem
Purpose of Travel,Finalidade da Viagem
Employee Advance Summary,Resumo de Adiantamentos de Trabalhador
Unpaid Expense Claim,Reembolso de Despesa Não Pago
Accounting Report,Relatório de Contabilidade
Territory Wise Sales,Vendas por Território
Reports,Relatórios
Lead Details,Detalhes da Lead
Sales Pipeline Analytics,Análise do Funil de Vendas
Opportunity Summary by Sales Stage,Resumo de Oportunidades por Etapa de Vendas
Sales Funnel,Funil de Vendas
Prospects Engaged But Not Converted,Prospects Contactados mas Não Convertidos
First Response Time for Opportunity,Tempo da Primeira Resposta para Oportunidade
Inactive Customers,Clientes Inativos
Campaign Efficiency,Eficiência da Campanha
Lead Owner Efficiency,Eficiência do Responsável pela Lead
Maintenance,Manutenção
Maintenance Schedule,Plano de Manutenção
Maintenance Visit,Visita de Manutenção
Warranty Claim,Reclamação de Garantia
Masters,Tabelas
Territory,Território
Customer Group,Grupo de Clientes
Contact,Contacto
Prospect,Prospecto
Sales Person,Vendedor
Sales Stage,Etapa de Vendas
Lead Source,Origem da Lead
Sales Pipeline,Pipeline de Vendas
Lead,Lead
Opportunity,Oportunidade
Customer,Cliente
Contract,Contrato
Appointment,Agendamento
Newsletter,Boletim Informativo
Communication,Comunicação
Settings,Configurações
CRM Settings,Configurações de CRM
SMS Settings,Configurações de SMS
Campaign,Campanha
Email Campaign,Campanha de Email
SMS Center,Centro de SMS
SMS Log,Registo de SMS
Email Group,Grupo de Emails
Quick Access,Acesso Rápido
Warehouse wise Stock Value,Valor do Stock por Armazém
Delayed Tasks Summary,Resumo de Tarefas Atrasadas
Employee Onboarding,Integração de Trabalhador
Employee Separation,Desligamento de Trabalhador
Employee Grievance,Reclamação de Trabalhador
New Hires (This Month),Novas Contratações (Este Mês)
Exits (This Month),Desligamentos (Este Mês)
Trainings (This Week),Formações (Esta Semana)
Employee Onboarding Template,Modelo de Integração de Trabalhador
Employee Skill Map,Mapa de Competências do Trabalhador
Grievance,Reclamação
Grievance Type,Tipo de Reclamação
Training,Formação
Training Program,Programa de Formação
Training Event,Evento de Formação
Training Feedback,Feedback da Formação
Training Result,Resultado da Formação
Daily Work Summary,Resumo Diário de Trabalho
Daily Work Summary Group,Grupo de Resumos Diários de Trabalho
Daily Work Summary Replies,Respostas de Resumos Diários de Trabalho
Employee Exits,Saídas de Trabalhadores
Department Wise Openings,Vagas por Departamento
Job Opening,Vaga de Emprego
Job Offer,Oferta de Emprego
Interviews (This Week),Entrevistas (Esta Semana)
Jobs,Empregos
Staffing Plan,Plano de Pessoal
Job Requisition,Requisição de Emprego
Job Applicant,Candidato a Emprego
Employee Referral,Recomendação de Trabalhador
Interviews,Entrevistas
Interview Type,Tipo de Entrevista
Interview Round,Ronda de Entrevista
Interview,Entrevista
Interview Feedback,Feedback da Entrevista
Appointment Letter Template,Modelo de Carta de Nomeação
Appointment Letter,Carta de Nomeação
Recruitment Analytics,Análise de Recrutamento
Shift & Attendance,Turnos & Assiduidade
Attendance Count,Contagem de Assiduidade
Employee Checkin,Registo de Entrada do Trabalhador
Attendance,Assiduidade
Shift Request,Pedido de Turno
Roster,Escala de Trabalho
Shifts,Turnos
Shift Type,Tipo de Turno
Shift Location,Local de Turno
Shift Assignment,Atribuição de Turno
Shift Schedule,Horário de Turno
Shift Schedule Assignment,Atribuição de Horário de Turno
Shift Assignment Tool,Ferramenta de Atribuição de Turnos
Attendance Request,Pedido de Assiduidade
Employee Attendance Tool,Ferramenta de Assiduidade do Trabalhador
Upload Attendance,Carregar Assiduidade
Overtime,Horas Extra
Overtime Type,Tipo de Horas Extra
Overtime Slip,Ficha de Horas Extra
Monthly Attendance Sheet,Mapa Mensal de Assiduidade
Shift Attendance,Assiduidade por Turno
Employee Hours Utilization Based On Timesheet,Utilização de Horas do Trabalhador com Base no Timesheet
Project Profitability,Rentabilidade do Projeto
Employees working on a holiday,Trabalhadores a Trabalhar em Feriado
Leaves,Licenças / Férias
Leave Application,Pedido de Licença
Leave Allocation,Atribuição de Licença
Leave Type,Tipo de Licença
Leave Period,Período de Licença
Leave Policy,Política de Licenças
Leave Policy Assignment,Atribuição de Política de Licenças
Leave Control Panel,Painel de Controlo de Licenças
Leave Encashment,Conversão de Licença em Dinheiro
Compensatory Leave Request,Pedido de Licença Compensatória
Dunning,Cobrança de Inadimplentes
Financial Reports,Relatórios Financeiros
Ledger,Razão
Customer Ledger Summary,Resumo do Razão de Clientes
Supplier Ledger Summary,Resumo do Razão de Fornecedores
Asset Capitalization,Capitalização de Ativo
Asset Activity,Atividade do Ativo
Permission Manager,Gestor de Permissões
Job Position,Cargo
Work Schedule,Horário de Trabalho
Login,Iniciar sessão
Login to {0},Iniciar sessão no {0}
Login To {0},Iniciar sessão no {0}
Email,E-mail
Email Address,Endereço de e-mail
Password,Palavra-passe
Show,Mostrar
Forgot Password?,Esqueceu a palavra-passe?
Reset Password,Redefinir palavra-passe
Forgot Password,Esqueceu a palavra-passe
Back to Login,Voltar ao início de sessão
Login with Email Link,Iniciar sessão com ligação por e-mail
Send login link,Enviar ligação de acesso
Login with {0},Iniciar sessão com {0}
Login with LDAP,Iniciar sessão com LDAP
Javascript is disabled on your browser,O JavaScript está desativado no seu navegador
You need to enable JavaScript for your app to work.,Precisa ativar o JavaScript para a sua aplicação funcionar.
Both login and password required,É obrigatório indicar o utilizador e a palavra-passe
Valid email and name required,É necessário e-mail e nome válidos
Valid Login id required.,É necessário um identificador de início de sessão válido.
Login with Frappe Cloud,Iniciar sessão com Frappe Cloud
Click on the button to log in to {0},Clique no botão para iniciar sessão no {0}
The link will expire in {0} minutes,A ligação expira em {0} minutos
Log In To {0},Iniciar sessão no {0}
Don't have an account?,Não tem uma conta?
Sign up,Registar
Let's set up your account,Vamos preparar a sua conta
Email Address (Will be your login ID),Endereço de Email (será o seu ID de acesso)
